Ano_mes,Casos
2003.01,791
2003.02,678
2003.03,524
2003.04,482
2003.05,486
2003.06,751
2003.07,1311
2003.08,1427
2003.09,1922
2003.10,2166
2003.11,1957
2003.12,1366
2004.01,1584
2004.02,1814
2004.03,1171
2004.04,682
2004.05,716
2004.06,776
2004.07,1100
2004.08,1578
2004.09,1538
2004.10,2069
2004.11,1982
2004.12,1465
2005.01,1526
2005.02,2323
2005.03,2124
2005.04,1191
2005.05,1328
2005.06,1362
2005.07,2097
2005.08,3085
2005.09,3435
2005.10,3646
2005.11,2743
2005.12,2004
2006.01,2530
2006.02,1577
2006.03,1207
2006.04,853
2006.05,1375
2006.06,1425
2006.07,2229
2006.08,3269
2006.09,3431
2006.10,4322
2006.11,4044
2006.12,2665
2007.01,2639
2007.02,1819
2007.03,1576
2007.04,1144
2007.05,1059
2007.06,1056
2007.07,1611
2007.08,1989
2007.09,1976
2007.10,2866
2007.11,1930
2007.12,1243
2008.01,1022
2008.02,796
2008.03,749
2008.04,659
2008.05,749
2008.06,697
2008.07,926
2008.08,1007
2008.09,1616
2008.10,1987
2008.11,2083
2008.12,1663
2009.01,1534
2009.02,1040
2009.03,897
2009.04,799
2009.05,955
2009.06,960
2009.07,953
2009.08,1266
2009.09,1598
2009.10,1740
2009.11,1588
2009.12,1133
2010.01,1274
2010.02,1010
2010.03,969
2010.04,674
2010.05,808
2010.06,883
2010.07,1188
2010.08,1249
2010.09,1220
2010.10,1534
2010.11,2021
2010.12,1481
2011.01,1143
2011.02,842
2011.03,817
2011.04,719
2011.05,881
2011.06,918
2011.07,1324
2011.08,2331
2011.09,2436
2011.10,2711
2011.11,3271
2011.12,1998
2012.01,1707
2012.02,1222
2012.03,977
2012.04,757
2012.05,814
2012.06,863
2012.07,1218
2012.08,1296
2012.09,1197
2012.10,1597
2012.11,1897
2012.12,1339
2013.01,1562
2013.02,1329
2013.03,888
2013.04,766
2013.05,633
2013.06,724
2013.07,935
2013.08,1348
2013.09,1547
2013.10,2251
2013.11,2210
2013.12,1452
2014.01,1197
2014.02,886
2014.03,653
2014.04,591
2014.05,524
2014.06,557
2014.07,663
2014.08,1299
2014.09,1969
2014.10,2331
2014.11,2517
2014.12,1744
2015.01,1679
2015.02,1248
2015.03,911
2015.04,679
2015.05,639
2015.06,707
2015.07,1087
2015.08,1397
2015.09,1885
2015.10,2125
2015.11,1882
2015.12,1304
2016.01,1303
2016.02,1164
2016.03,784
2016.04,621
2016.05,641
2016.06,737
2016.07,1016
2016.08,1365
2016.09,1740
2016.10,1704
2016.11,1475
2016.12,1091
2017.01,1330
2017.02,899
2017.03,798
2017.04,568
2017.05,637
2017.06,688
2017.07,890
2017.08,1440
2017.09,2438
2017.10,2791
2017.11,2602
2017.12,1646
2018.01,1338
2018.02,1008
2018.03,799
2018.04,711
2018.05,658
2018.06,539
2018.07,604
2018.08,1225
2018.09,1872
2018.10,2802
2018.11,2860
2018.12,2067
2019.01,1518
2019.02,1139
2019.03,937
2019.04,842
2019.05,786
2019.06,621
2019.07,809
2019.08,749
2019.09,977
2019.10,1340
2019.11,1133
2019.12,943
2020.01,689
2020.02,378
2020.03,346
2020.04,241
2020.05,219
2020.06,180
2020.07,163
2020.08,241
2020.09,287
2020.10,382
2020.11,388
2020.12,332
2021.01,247
2021.02,192
2021.03,151
2021.04,157
2021.05,182
2021.06,163
2021.07,203
2021.08,349
2021.09,600
2021.10,906
2021.11,864
2021.12,480
2022.01,248
2022.02,204
2022.03,195
2022.04,173
2022.05,148
2022.06,168
2022.07,151
2022.08,211
2022.09,257
2022.10,364
2022.11,520
2022.12,533
2023.01,629
2023.02,373
2023.03,351
2023.04,269
2023.05,527
2023.06,525
2023.07,491
2023.08,628
2023.09,554
2023.10,772
2023.11,809
2023.12,650
